EMD-0218 C1 11.0 n/a
EMD-0219 C1 16.0 n/a
EMD-0220 C1 12.0 n/a
EMD-0221 C1 12.0 n/a
EMD-0222 C1 14.0 n/a
EMD-0223 C1 14.0 n/a
EMD-0224 C1 14.0 n/a
EMD-0225 C5 4.1 6hin
EMD-0226 C5 4.2 6hio
EMD-0227 C5 3.2 6hiq
EMD-0228 C5 4.5 6his
EMD-0229 None 7.8 6hiv
EMD-0230 None 3.37 6hiw
EMD-0231 None 3.39 6hix
EMD-0232 None 3.27 6hiy
EMD-0233 None 3.08 6hiz
EMD-0234 C3 3.3 6hjn
EMD-0235 C3 3.3 6hjp
EMD-0236 C3 4.1 6hjq
EMD-0237 C1 4.2 6hjr
EMD-0238 C1 3.42 6hko
EMD-0239 C1 3.18 6hlq
EMD-0240 C1 3.18 6hlr
EMD-0241 C1 3.21 6hls
EMD-0242 C1 4.0 n/a
EMD-0243 None 2.65 6hma
EMD-0244 None 7.1 6hms
EMD-0245 I 4.8 n/a
EMD-0246 C1 4.2 6hn4
EMD-0247 C1 3.2 6hn5
EMD-0248 C1 3.65 6hnp
EMD-0249 C1 12.13 n/a
EMD-0250 C1 10.7 n/a
EMD-0251 C1 7.1 6hqa
EMD-0253 C1 4.5 n/a
EMD-0254 C1 4.6 n/a
EMD-0255 C1 4.8 n/a
EMD-0256 C2 7.6 n/a
EMD-0257 C1 3.7 6hra
EMD-0258 C1 4.0 6hrb
EMD-0261 None 2.96 6hrm
EMD-0262 C1 3.31 6hu9
EMD-0263 O 2.18 n/a
EMD-0264 C5 4.6 6hs7
EMD-0265 C5 4.9 n/a
EMD-0266 None 7.9 n/a
EMD-0267 None 17.0 n/a
EMD-0268 C1 3.38 n/a
EMD-0269 C1 3.31 n/a
EMD-0270 None 4.5 6htq
EMD-0271 I 2.66 6htx
EMD-0272 I 2.64 6hu4
EMD-0273 I 2.8 6hu7
EMD-0275 C1 3.1 6hug
EMD-0276 None 3.41 n/a
EMD-0277 C1 3.3 n/a
EMD-0278 None 3.66 n/a
EMD-0279 C1 3.04 6huj
EMD-0280 C1 3.69 6huk
EMD-0281 None 3.34 6hum
EMD-0282 C1 3.26 6huo
EMD-0283 C1 3.58 6hup
EMD-0284 None 4.5 n/a
EMD-0285 None 4.4 n/a
EMD-0286 None 5.0 n/a
EMD-0287 C1 4.4 6hv8
EMD-0288 C1 4.98 6hv9
EMD-0289 C1 3.3 6hwh
EMD-0294 C1 13.5 n/a
EMD-0295 C1 16.2 n/a
EMD-0296 C1 16.9 n/a
EMD-0299 I 3.5 6hy0
EMD-0300 D3 4.0 n/a
EMD-0302 C1 8.0 n/a
EMD-0304 C1 9.7 n/a
EMD-0305 C1 10.2 n/a
EMD-0306 C1 10.2 n/a
EMD-0308 C1 3.9 6hyd
EMD-0309 C1 4.4 6hyp
EMD-0310 C1 3.6 6hz4
EMD-0311 C2 4.2 6hz5
EMD-0312 C2 4.3 6hz6
EMD-0313 C2 4.3 6hz7
EMD-0314 C2 4.3 6hz8
EMD-0315 C2 4.8 6hz9
EMD-0322 None 3.2 6i0y
EMD-0323 None 14.7 n/a
EMD-0324 C1 25.0 n/a
EMD-0325 C1 6.0 n/a
EMD-0326 C15 3.7 6i1x
EMD-0327 C15 3.4 6i1y
EMD-0328 C1 4.3 6i26
EMD-0329 C1 7.8 6i27
EMD-0330 C1 4.4 n/a
EMD-0331 None 3.6 6i2i
EMD-0332 I 3.4 6i2k
EMD-0336 C1 3.68 6n3q
EMD-0339 C1 3.0 6n4b
EMD-0340 C1 17.0 6n4c
EMD-0341 C2 3.6 6n4q
EMD-0342 C2 4.2 6n4r
EMD-0344 I 3.0 6n4v
EMD-0345 C2 4.0 6n51
EMD-0346 None 4.0 6n52
EMD-0347 None 7.9 n/a
EMD-0348 C1 3.7 6n57
EMD-0349 C1 3.78 6n58
EMD-0350 I 6.3 n/a
EMD-0351 None 3.32 n/a
EMD-0352 I 3.21 n/a
EMD-0353 I 2.89 n/a
EMD-0354 I 3.43 n/a
EMD-0355 None 6.8 6n7g
EMD-0356 None 3.6 6n7h
EMD-0357 C1 3.2 6n7i
EMD-0358 None 6.5 6n7k
EMD-0359 None 3.5 6n7n
EMD-0360 C1 3.6 6n7p
EMD-0361 C1 3.2 6n7r
EMD-0362 C1 4.6 6n7s
EMD-0363 C1 3.9 6n7t
EMD-0364 C1 3.8 6n7v
EMD-0365 None 4.5 6n7w
EMD-0366 None 6.2 6n88
EMD-0367 None 7.5 6n89
EMD-0368 None 10.4 n/a
EMD-0369 C1 3.5 6n8j
EMD-0370 C1 3.6 6n8k
EMD-0371 C1 3.6 6n8l
EMD-0372 C1 3.5 6n8m
EMD-0373 C1 3.8 6n8n
EMD-0374 C1 3.5 6n8o
EMD-0375 None 7.7 6n8t
EMD-0376 None 9.3 6n8v
EMD-0377 None 9.3 6n8z
EMD-0378 C2 10.0 n/a
EMD-0379 C1 3.7 6n9u
EMD-0380 C1 4.0 6n9v
EMD-0381 C1 4.0 6n9w
EMD-0382 C1 4.1 6n9x
EMD-0386 None 8.6 n/a
EMD-0387 C1 6.6 n/a
EMD-0388 C1 7.1 n/a
EMD-0389 C1 7.8 n/a
EMD-0390 C1 8.3 n/a
EMD-0391 C1 11.2 n/a
EMD-0392 C1 13.3 n/a
EMD-0393 C1 11.8 n/a
EMD-0394 C1 9.6 n/a
EMD-0395 C1 13.8 n/a
EMD-0398 C1 48.0 n/a
EMD-0399 C1 34.0 n/a
EMD-0400 C1 45.0 n/a
EMD-0401 C3 3.5 6nb3
EMD-0402 C1 3.6 6nb4
EMD-0403 None 4.2 6nb6
EMD-0404 C1 4.5 6nb7
EMD-0406 C2 2.9 6nbb
EMD-0407 C2 2.8 6nbc
EMD-0408 C2 3.2 6nbd
EMD-0409 C1 6.0 n/a
EMD-0410 None 3.0 6nbf
EMD-0411 None 3.5 6nbh
EMD-0412 None 4.0 6nbi
EMD-0415 C1 3.1 6nbq
EMD-0416 C1 3.6 n/a
EMD-0417 C1 3.7 n/a
EMD-0418 C1 3.8 n/a
EMD-0419 None 3.3 n/a
EMD-0420 C1 3.4 n/a
EMD-0421 None 6.7 n/a
EMD-0425 C1 3.5 6nbx
EMD-0426 None 12.8 n/a
EMD-0427 None 22.0 n/a
EMD-0428 None 32.0 n/a
EMD-0429 None 12.8 n/a
EMD-0430 None 8.7 n/a
EMD-0431 None 23.0 n/a
EMD-0432 None 21.0 n/a
EMD-0433 D3 5.2 6nc2
EMD-0434 D3 4.5 6nc3
EMD-0436 I 3.5 6ncl
EMD-0437 None 4.8 n/a
EMD-0439 C2 3.5 6nd0
EMD-0440 C1 4.1 6nd1
EMD-0441 C1 4.3 6nd4
EMD-0442 C1 5.2 n/a
EMD-0443 None 3.6 6ndy
EMD-0445 C1 3.38 6nma
